Experiment	Measurement	Replication	Module	Module Display Path	Name	Count	Mean	StdDev	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	txPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	rxPkOk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	passedUpPk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	txPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	rxPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetReceivedFromUpper:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropIncorrectlyReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropNotAddressedToUs:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0]	WlcApLab.wlc.eth[0]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0]	WlcApLab.wlc.eth[0]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropAddressResolutionFailed:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropHopLimitReached:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropForwardingDisabled:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropNoInterfaceFound:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropNoRouteFound:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropUndefined:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.arp	WlcApLab.wlc.ipv4.arp	arpRequestSent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.arp	WlcApLab.wlc.ipv4.arp	arpReplySent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	packetSent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	packetReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	passedUpPk:vector(count)	1	0	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	droppedPkWrongPort:vector(count)	1	0	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	droppedPkBadChecksum:vector(count)	1	0	-	
General		#0	WlcApLab.switch0.bridging	WlcApLab.switch0.bridging	packetDropped:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.ethernet	WlcApLab.switch0.ethernet	encapPk:vector(packetBytes)	3 526	~ 1 224.98	~ 59.649 1	
General		#0	WlcApLab.switch0.ethernet	WlcApLab.switch0.ethernet	decapPk:vector(packetBytes)	3 523	~ 1 225.99	~ 48.744 8	
General		#0	WlcApLab.switch0.ethernet	WlcApLab.switch0.ethernet	pauseSent:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	incomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	outgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	flowIncomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	flowOutgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	WlcApLab.switch0.ieee8021q.qTagHeaderInserter	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	incomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	outgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	droppedPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	droppedDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowIncomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowOutgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowDroppedPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	WlcApLab.switch0.ieee8021q.qTagHeaderChecker	flowDroppedDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	incomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	outgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	flowIncomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	flowOutgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	WlcApLab.switch0.ieee8021r.rTagHeaderInserter	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	incomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	outgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	droppedPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	droppedDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowIncomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowOutgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowDroppedPacketLengths:vector	0	-	-	
General		#0	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	WlcApLab.switch0.ieee8021r.rTagHeaderChecker	flowDroppedDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	queueLength:vector	8	0 pk	0 pk	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	queueBitLength:vector	8	0 B	0 B	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	queueingTime:vector	3	0 s	0 s	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	incomingPacketLengths:vector	3	64 B	0 B	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	incomingDataRate:vector	300	51.2 bps	~ 660.104 bps	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	outgoingPacketLengths:vector	3	64 B	0 B	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	outgoingDataRate:vector	300	51.2 bps	~ 660.104 bps	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	flowQueueingTime:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].queue	WlcApLab.switch0.eth[0].queue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	txPk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	rxPkOk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	passedUpPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	txPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	rxPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	packetReceivedFromUpper:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	packetDropIncorrectlyReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0].mac	WlcApLab.switch0.eth[0].mac	packetDropNotAddressedToUs:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0]	WlcApLab.switch0.eth[0]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[0]	WlcApLab.switch0.eth[0]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	queueLength:vector	8	0 pk	0 pk	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	queueBitLength:vector	8	0 B	0 B	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	queueingTime:vector	3	0 s	0 s	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	incomingPacketLengths:vector	3	64 B	0 B	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	incomingDataRate:vector	300	51.2 bps	~ 660.104 bps	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	outgoingPacketLengths:vector	3	64 B	0 B	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	outgoingDataRate:vector	300	51.2 bps	~ 660.104 bps	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	flowQueueingTime:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].queue	WlcApLab.switch0.eth[1].queue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	txPk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	rxPkOk:vector(packetBytes)	3 520	~ 1 244.99	~ 34.497 2	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	passedUpPk:vector(packetBytes)	3 520	~ 1 244.99	~ 34.497 2	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	txPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	rxPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	packetReceivedFromUpper:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	packetDropIncorrectlyReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[1].mac	WlcApLab.switch0.eth[1].mac	packetDropNotAddressedToUs:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[1]	WlcApLab.switch0.eth[1]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[1]	WlcApLab.switch0.eth[1]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	queueLength:vector	3 525	0 pk	0 pk	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	queueBitLength:vector	3 525	0 B	0 B	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	queueingTime:vector	3 520	0 s	0 s	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	incomingPacketLengths:vector	3 520	~ 1 244.99 B	~ 34.497 2 B	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	incomingDataRate:vector	300	~ 1.168 63 Mbps	~ 710.212 kbps	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	outgoingPacketLengths:vector	3 520	~ 1 244.99 B	~ 34.497 2 B	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	outgoingDataRate:vector	300	~ 1.168 63 Mbps	~ 710.212 kbps	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	flowQueueingTime:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].queue	WlcApLab.switch0.eth[2].queue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	txPk:vector(packetBytes)	3 520	~ 1 244.99	~ 34.497 2	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	rxPkOk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	passedUpPk:vector(packetBytes)	3	64	0	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	txPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	rxPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	packetReceivedFromUpper:vector(packetBytes)	3 520	~ 1 244.99	~ 34.497 2	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	packetDropIncorrectlyReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[2].mac	WlcApLab.switch0.eth[2].mac	packetDropNotAddressedToUs:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[2]	WlcApLab.switch0.eth[2]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.switch0.eth[2]	WlcApLab.switch0.eth[2]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.ap1.bridging	WlcApLab.ap1.bridging	packetDropped:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.ap1.ethernet	WlcApLab.ap1.ethernet	encapPk:vector(packetBytes)	3 523	~ 1 225.97	~ 49.117 4	
General		#0	WlcApLab.ap1.ethernet	WlcApLab.ap1.ethernet	decapPk:vector(packetBytes)	3 523	~ 1 225.97	~ 49.117 4	
General		#0	WlcApLab.ap1.ethernet	WlcApLab.ap1.ethernet	pauseSent:vector	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	queueLength:vector	641	~ 0.508 58 pk	~ 0.512 657 pk	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	queueBitLength:vector	641	~ 26.567 9 B	~ 27.428 6 B	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	queueingTime:vector	318	~ 53.071 ms	~ 544.107 ms	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	incomingPacketLengths:vector	318	~ 51.905 7 B	~ 4.292 6 B	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	incomingDataRate:vector	300	4.401 6 kbps	~ 1.915 65 kbps	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	outgoingPacketLengths:vector	318	~ 51.905 7 B	~ 4.292 6 B	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	outgoingDataRate:vector	300	4.401 6 kbps	~ 1.915 65 kbps	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	flowQueueingTime:vector	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.inProgressFrames	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.inProgressFrames	queueingTime:vector	318	~ 0.000 054 835 4	~ 0.000 061 039 3	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.inProgressFrames	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.inProgressFrames	queueLength:vector	638	~ 0.514 107	~ 0.515 647	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	backoffPeriodGenerated:vector	318	~ 15.562 9	~ 9.250 16	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	backoffActive:vector	696	~ 0.498 563	~ 0.500 358	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	WlcApLab.ap1.wlan[0].mac.dcf.channelAccess.contention	stateChanged:vector	30 802	~ 0.048 243 6	~ 0.301 631	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.recipientMacDataService	WlcApLab.ap1.wlan[0].mac.dcf.recipientMacDataService	packetDropDuplicateDetected:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf.recoveryProcedure	WlcApLab.ap1.wlan[0].mac.dcf.recoveryProcedure	contentionWindowChanged:vector	1	31	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeer:vector(packetBytes)	3 847	~ 17.133 4	~ 10.511 9	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeerUnicast:vector(packetBytes)	3 544	~ 14.142 2	~ 2.490 98	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeerMulticast:vector(packetBytes)	303	~ 52.118 8	~ 1.190 08	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeerBroadcast:vector(packetBytes)	303	~ 52.118 8	~ 1.190 08	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeerWithRetry:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetSentToPeerWithoutRetry:vector(packetBytes)	3 847	~ 17.133 4	~ 10.511 9	
General		#0	WlcApLab.ap1.wlan[0].mac.dcf	WlcApLab.ap1.wlan[0].mac.dcf	packetReceivedFromPeer:vector(packetBytes)	3 547	~ 1 253.54	~ 113.306	
